timestamp,order,commission
1758076869.6369646,"{'order_id': 1141, 'period': 1, 'tick': 36, 'trader_id': 'LSTM-2', 'ticker': 'RTM50C', 'quantity': 100.0, 'price': None, 'type': 'MARKET', 'action': 'BUY', 'quantity_filled': 100.0, 'vwap': 1.67, 'status': 'TRANSACTED'}",100.0
1758076869.7496774,"{'order_id': 1143, 'period': 1, 'tick': 36, 'trader_id': 'LSTM-2', 'ticker': 'RTM50P', 'quantity': 100.0, 'price': None, 'type': 'MARKET', 'action': 'BUY', 'quantity_filled': 100.0, 'vwap': 1.26, 'status': 'TRANSACTED'}",100.0
1758076869.8660989,"{'order_id': 1147, 'period': 1, 'tick': 36, 'trader_id': 'LSTM-2', 'ticker': 'RTM52C', 'quantity': 100.0, 'price': None, 'type': 'MARKET', 'action': 'BUY', 'quantity_filled': 100.0, 'vwap': 0.84, 'status': 'TRANSACTED'}",100.0
1758076869.9584463,"{'order_id': 1150, 'period': 1, 'tick': 36, 'trader_id': 'LSTM-2', 'ticker': 'RTM52P', 'quantity': 100.0, 'price': None, 'type': 'MARKET', 'action': 'BUY', 'quantity_filled': 100.0, 'vwap': 2.43, 'status': 'TRANSACTED'}",100.0
1758076870.0541742,"{'order_id': 1154, 'period': 1, 'tick': 36, 'trader_id': 'LSTM-2', 'ticker': 'RTM51C', 'quantity': 100.0, 'price': None, 'type': 'MARKET', 'action': 'BUY', 'quantity_filled': 100.0, 'vwap': 1.29, 'status': 'TRANSACTED'}",100.0
1758076870.1538227,"{'order_id': 1155, 'period': 1, 'tick': 36, 'trader_id': 'LSTM-2', 'ticker': 'RTM51P', 'quantity': 100.0, 'price': None, 'type': 'MARKET', 'action': 'BUY', 'quantity_filled': 100.0, 'vwap': 1.88, 'status': 'TRANSACTED'}",100.0
1758076870.2489667,"{'order_id': 1157, 'period': 1, 'tick': 36, 'trader_id': 'LSTM-2', 'ticker': 'RTM49C', 'quantity': 100.0, 'price': None, 'type': 'MARKET', 'action': 'BUY', 'quantity_filled': 100.0, 'vwap': 2.34, 'status': 'TRANSACTED'}",100.0
1758076870.3604147,"{'order_id': 1180, 'period': 1, 'tick': 37, 'trader_id': 'LSTM-2', 'ticker': 'RTM49P', 'quantity': 100.0, 'price': None, 'type': 'MARKET', 'action': 'BUY', 'quantity_filled': 100.0, 'vwap': 0.82, 'status': 'TRANSACTED'}",100.0
1758076870.9668257,"{'order_id': 1190, 'period': 1, 'tick': 37, 'trader_id': 'LSTM-2', 'ticker': 'RTM51P', 'quantity': 100.0, 'price': None, 'type': 'MARKET', 'action': 'BUY', 'quantity_filled': 100.0, 'vwap': 1.77, 'status': 'TRANSACTED'}",100.0
1758076871.062222,"{'order_id': 1191, 'period': 1, 'tick': 37, 'trader_id': 'LSTM-2', 'ticker': 'RTM51C', 'quantity': 100.0, 'price': None, 'type': 'MARKET', 'action': 'BUY', 'quantity_filled': 100.0, 'vwap': 1.24, 'status': 'TRANSACTED'}",100.0
1758076871.1790617,"{'order_id': 1192, 'period': 1, 'tick': 37, 'trader_id': 'LSTM-2', 'ticker': 'RTM50C', 'quantity': 100.0, 'price': None, 'type': 'MARKET', 'action': 'BUY', 'quantity_filled': 100.0, 'vwap': 1.72, 'status': 'TRANSACTED'}",100.0
1758076871.283557,"{'order_id': 1215, 'period': 1, 'tick': 38, 'trader_id': 'LSTM-2', 'ticker': 'RTM50P', 'quantity': 100.0, 'price': None, 'type': 'MARKET', 'action': 'BUY', 'quantity_filled': 100.0, 'vwap': 1.37, 'status': 'TRANSACTED'}",100.0
1758076871.3851173,"{'order_id': 1216, 'period': 1, 'tick': 38, 'trader_id': 'LSTM-2', 'ticker': 'RTM49C', 'quantity': 100.0, 'price': None, 'type': 'MARKET', 'action': 'BUY', 'quantity_filled': 100.0, 'vwap': 2.28, 'status': 'TRANSACTED'}",100.0
